Matrix Name, nrow, ncol, nnz, max_nnz_per_row, min_nnz_per_row, avg_nnz_per_row, std_nnz_per_row, density, max_nnz_per_col, min_nnz_per_col, avg_nnz_per_col, std_nnz_per_col, nnz_variance, nnz_std, dia_num, dia_ratio, CV
1138_bus,1138,1138,4054,18,2,3.562390158172232,1.8021833806268253,0.003130395569571381,18,2,3.562390158172232,1.8021833806268253,3.2478649374075323,1.8021833806268253,625,0.5492091388400703,0.505891634719617
130bit,584,575,6120,14,6,10.479452054794521,1.3291730773752022,0.018225134008338296,319,0,10.643478260869566,26.58361420919737,1.7667010696190655,1.3291730773752022,985,1.7130434782608697,0.1268361237233853
144,144649,144649,2148786,26,4,14.855173558061239,2.718314197829039,0.00010269807297707719,26,4,14.855173558061239,2.718314197829039,7.389232078118931,2.718314197829039,208770,1.443286853002786,0.18298771045686849
145bit,1002,993,11315,15,7,11.292415169660678,1.4097331875108432,0.011372019304794239,503,0,11.394763343403827,35.106273023615685,1.9873476599694821,1.4097331875108432,1674,1.6858006042296072,0.12483894422323154
162bit,3606,3597,37118,14,7,10.293399889073767,1.1469391755312324,0.0028616624656863402,1902,0,10.319154851264942,51.20793223928468,1.315469472368263,1.1469391755312324,6031,1.6766750069502363,0.1114247175754519
176bit,7441,7431,82270,16,7,11.05630963580164,1.247677927190562,0.0014878629573141758,4068,0,11.071188265374781,86.45111389517511,1.5567002099985372,1.247677927190562,12301,1.65536266989638,0.11284759275829552
192bit,13691,13682,154303,16,7,11.270396610912279,1.3491650286982642,0.0008237389717082501,6893,0,11.277810261657653,107.48414182015433,1.8202462746623878,1.3491650286982642,22411,1.6379915217073526,0.11970874453450635
208bit,24430,24421,299756,18,8,12.269995906672124,1.4416627929793777,0.0005024362600496345,13287,0,12.27451783301257,175.72556363993755,2.0783916086611,1.4416627929793777,39849,1.6317513615331067,0.11749496935002535
2cubes_sphere,101492,101492,1647264,31,5,16.230481220194694,2.6536988225410916,0.00015991882335745375,31,5,16.230481220194694,2.6536988225410916,7.042117440755977,2.6536988225410916,73665,0.72582075434517,0.1635009330000173
2D_27628_bjtcai,27628,27628,442898,90,9,16.030765889677138,2.942328791699841,0.0005802362056492377,90,3,16.030765889677138,2.902060950431244,8.657298718465848,2.942328791699841,989,0.03579701751845953,0.18354262122900356
2D_54019_highK,54019,54019,996414,1426,6,18.445620985208908,6.922173976493269,0.00034146542855678386,164,6,18.445620985208908,3.1090589053239137,47.916492560840645,6.922173976493269,4306,0.07971269368185269,0.3752746509344408
3D_28984_Tetra,28984,28984,599170,3817,12,20.672439966878276,29.739235026363218,0.000713236267143192,367,13,20.672439966878276,3.752927576742165,884.4220999532689,29.739235026363218,1933,0.06669196798233508,1.438593367498559
3D_51448_3D,51448,51448,1056610,5671,12,20.53743585756492,28.403309253840813,0.00039918822612278264,946,13,20.53743585756492,4.905319345221296,806.7479765693191,28.403309253840813,3032,0.05893329186751672,1.3830017267408052
3dtube,45330,45330,3213618,2364,10,70.89384513567174,39.7310301660871,0.0015639498154791914,2364,10,70.89384513567174,39.7310301660871,1578.5547580585235,39.7310301660871,6455,0.14240017648356496,0.5604298947257355
3elt_dual,9000,9000,26556,3,2,2.9506666666666668,0.21656305214776495,0.00032785185185185185,3,2,2.9506666666666668,0.21656305214776495,0.046899555555555555,0.21656305214776495,1042,0.11577777777777777,0.07339461776358956
3elt,4720,4720,27444,9,3,5.814406779661017,0.6707288501790503,0.0012318658431485206,9,3,5.814406779661017,0.6707288501790503,0.4498771904625108,0.6707288501790503,1320,0.2796610169491525,0.11535636834445115
494_bus,494,494,1666,10,2,3.3724696356275303,1.4181198614312183,0.006826861610582045,10,2,3.3724696356275303,1.4181198614312183,2.0110639413856974,1.4181198614312183,465,0.9412955465587044,0.4204989264988126
