1138_bus,0.26436,1.21878,0.34613,0.18596,0.01743,0.02076,0.02215,0.02176,0.10272,0.01438,0.00561,0.00608,0.01014,0.04493,0.03299,0.02161,0.01179,0.01176,0.05626,0.01043,0.00451,0.00770,0.00744,0.00300,0.05640,0.02274,0.00460,0.00462,0.02227,0.00390,0.00338,0.00511,0.00424,0.00060,0.06592,0.02074,0.00194,0.00186,0.00910,0.00179
130bit,0.15712,2.98536,0.13784,0.36256,0.03414,0.04596,0.04914,0.04930,0.06359,0.03145,0.01858,0.02094,0.01868,0.00720,0.06225,0.04958,0.02700,0.02704,0.03464,0.02267,0.01281,0.01743,0.01859,0.04695,0.09110,0.05329,0.01078,0.00976,0.01441,0.01038,0.00894,0.01051,0.01009,0.00109,0.01737,0.05039,0.00449,0.00440,0.00569,0.00437
144
145bit,0.18975,4.01241,0.12955,0.57233,0.02106,0.08391,0.09417,0.09333,0.12262,0.03056,0.03058,0.03924,0.03021,0.00764,0.04070,0.09278,0.04881,0.04925,0.06463,0.03069,0.02027,0.03049,0.03066,0.00779,0.04456,0.06336,0.02013,0.01979,0.02580,0.01912,0.01458,0.01986,0.01916,0.00166,0.01961,0.09301,0.00813,0.00771,0.01067,0.00793
162bit,0.20797,3.73796,0.13006,1.34681,0.00540,0.20124,0.29934,0.30253,0.40954,0.01170,0.07932,0.12092,0.09352,0.65964,0.00985,0.30140,0.12650,0.16468,0.22865,0.01386,0.06251,0.11757,0.11775,0.31571,0.01120,0.30590,0.06456,0.06308,0.08608,0.01453,0.05445,0.06235,0.05402,0.00855,0.01146,0.30826,0.02630,0.02702,0.03660,0.01318
176bit,0.21556,3.22374,0.12688,1.42090,0.00203,0.19999,0.59482,0.53215,0.86511,0.00646,0.12500,0.26020,0.12356,0.98080,0.00403,0.66675,0.34309,0.34538,0.50712,0.00826,0.19287,6.05371,0.13489,0.60698,0.00533,0.64713,0.13903,0.13746,0.19809,0.00850,0.09246,0.15542,0.10497,0.01669,0.00670,0.66605,0.05903,0.05864,0.08530,0.00846
192bit,0.22382,1.76487,0.10999,1.03503,0.00074,0.25650,1.03503,0.53856,1.53767,0.00365,0.23274,5.72128,0.12365,1.85594,0.00104,1.24740,0.63081,0.55773,0.89312,0.00761,0.25151,7.33379,0.12882,0.90622,0.00243,1.28650,0.26471,0.22658,0.38668,0.00889,0.16200,5.48340,0.11402,0.47157,0.00372,1.26343,0.10981,0.10858,0.14997,0.00759
208bit,0.16674,2.29575,0.10177,1.23214,0.00042,0.27650,1.69220,0.48938,2.43044,0.00221,0.23264,8.64597,0.11413,1.43006,0.00100,2.38336,0.49363,0.40885,0.66758,0.00781,0.18952,8.56200,0.11215,0.79674,0.00261,2.61088,0.22290,0.21621,0.30923,0.00865
2cubes_sphere
2D_27628_bjtcai,0.60907,2.10934,0.54423,0.34381,0.01495,0.48665,2.35446,2.08324,4.33849,0.02836,0.65460,2.73275,0.92025,0.35587,0.03100,3.49923,1.69180,1.65836,4.23079,0.04425,0.61693,2.09616,1.59643,0.24792,0.03306,3.63418,0.67747,0.77916,3.46563,0.04353,0.59796,1.05364,2.07875,0.20799,0.03720,3.76838,0.32290,0.30978,1.64519,0.04680
2D_54019_highK,0.58996,2.63357,0.60034,0.01225,0.00278,0.51275,2.87200,2.62525,7.44498,0.00901,0.86864,2.38736,1.15440,0.01347,0.00532,7.85753,2.79766,2.70764,7.68408,0.01944,1.20008,2.54994,1.72452,0.01310,0.00778,8.00911,1.61070,1.62722,7.74876,0.03985,0.85223,1.62879,1.17396,0.00126,0.01452,8.33400,0.70095,0.72544,7.75768,0.04431
3D_28984_Tetra,0.56955,2.36247,0.54486,0.00356,0.00530,0.48138,2.78088,2.64546,7.75333,0.01277,0.59909,4.24612,0.74952,0.00453,0.01045,4.80759,2.04118,1.95903,7.47737,0.02400,0.71677,5.02111,0.73993,0.00508,0.00971,4.77502,0.96110,0.95610,9.31162,0.03324,0.52973,3.53034,0.70173,0.00046,0.01391,4.99017,0.41743,0.43484,8.90939,0.02976
3D_51448_3D,0.51958,2.37318,0.54678,0.00366,0.00319,0.44759,3.10457,2.86795,7.95677,0.01177,0.80819,2.43419,0.85808,0.00337,0.00408,8.43398,2.47085,2.38604,9.13596,0.02246,0.73257,5.08107,0.89179,0.00342,0.01025,8.43196,1.56618,1.52707,11.12196,0.03658,0.67641,2.04223,0.79985,0.00056,0.01101,8.61624,0.73598,0.72930,12.38254,0.04066
3dtube,0.51197,2.71674,0.62327,0.01375,0.01447,3.02555,3.51710,3.27829,6.95618,0.03318,0.80022,2.39896,1.14155,0.01407,0.03392,4.19805,3.27657,3.16747,8.43801,0.07691
3elt_dual,0.61615,1.91878,0.73278,1.50886,0.00614,0.09413,0.10728,0.10700,0.21591,0.00815,0.04165,0.04514,0.04279,0.01433,0.01039,0.06720,0.05871,0.05841,0.11914,0.00944,0.02407,0.03769,0.04264,0.01166,0.01177,0.11002,0.02287,0.02231,0.04605,0.01064,0.01956,0.02294,0.02410,0.01261,0.01211,0.10906,0.00940,0.00971,0.01939,0.00888
3elt,0.61368,3.22112,0.66969,1.01344,0.00960,0.10164,0.11431,0.11354,0.27033,0.01599,0.03704,0.03906,0.02833,0.03953,0.01819,0.10870,0.05839,0.05979,0.14425,0.01917,0.02402,0.03649,0.76276,0.20242,0.02093,0.11604,0.02400,0.02404,0.05136,0.01972,0.02347,0.02194,0.02283,0.00339,0.01967,0.11468,0.01005,0.01004,0.02295,0.00893
494_bus,0.10160,0.70130,0.21012,0.14654,0.02216,0.00833,0.00896,0.00865,0.02441,0.00740,0.00357,0.00371,0.00360,0.00072,0.03868,0.00915,0.00489,0.00484,0.01325,0.00453,0.00202,0.00341,0.00339,0.01040,0.05757,0.00853,0.00182,0.00166,0.00499,0.00180,0.00164,0.00177,0.00188,0.00039,0.04406,0.00889,0.00077,0.00077,0.00205,0.00080
598a
662_bus,0.16099,0.94458,0.25209,0.14307,0.02344,0.01262,0.01291,0.01285,0.04858,0.01071,0.00516,0.00537,0.00538,0.00298,0.04317,0.01268,0.00659,0.00678,0.02612,0.00505,0.00412,0.00334,0.00498,0.00461,0.06458,0.01392,0.00280,0.00280,0.01028,0.00269,0.00238,0.00257,0.00253,0.00036,0.00438,0.01293,0.00116,0.00108,0.00434,0.00114
685_bus,0.21904,1.12400,0.41674,0.15992,0.03735,0.01563,0.01606,0.01611,0.05455,0.01271,0.00647,0.00671,0.00672,0.00248,0.06537,0.01056,0.00886,0.00882,0.03035,0.00835,0.00335,0.00643,0.00559,0.00083,0.09291,0.01702,0.00350,0.00354,0.01226,0.00341,0.00257,0.00319,0.00320,0.00042,0.00554,0.01603,0.00133,0.00141,0.00485,0.00136
a0nsdsil,0.25926,1.18265,0.16900,0.00044,0.00016,0.22122,0.88882,1.15659,6.59836,0.00088,0.15696,1.81425,0.20684,0.00067,0.00026,1.62368,0.77536,0.77413,9.16263,0.00174,0.09531,0.55551,0.09219,0.00010,0.00131,1.02881,0.11508,0.14523,13.95991,0.00382
a2nnsnsl,0.25123,0.92959,0.14515,0.00041,0.00015,0.20570,0.89293,1.09207,8.00057,0.00087,0.18789,3.15500,0.22244,0.00052,0.00024,1.61851,0.68266,0.81409,9.08168,0.00170
